# Curated dish catalogue for the day planner.
#
# What this is for: the fortnight before a profile has any saved recipes of its own. The planner
# always prefers the user's meals over these, and should — a recipe somebody wrote down is in
# their words, made of food they buy. These exist so that day one is not a list of ingredients.
#
# Capped at sixty. Reshuffling has to stay interesting only until the recipe book fills up, and
# every dish here costs eleven translations of its name.
#
# id	name	slots	cuisines	parts
#
# `id` is permanent the way a food id is. `slots` are lowercased names from `_splits` in
# lib/domain/nutrition.dart. `cuisines` must match `_cuisines` in lib/domain/dishes.dart.
#
# A part is `fid:role:grams` with an optional fourth field, the step a `unit` moves in:
#
#   fixed   the cup of coffee, the splash of milk in it. Never resized.
#   unit    slices, eggs, tortillas. Whole multiples of the step — two or three, never 2.4.
#   flex    the anchor, and where protein is bought.
#   accent  the cheese, the olives. Something you have a piece of, capped at twice the recipe.
#   side    the salad, the vegetables. Where spare calories go.
#   trace   the oil it was cooked in.
#
# The bands each role implies live in lib/domain/day_plan_source.dart, not here: one place to
# change them, and no regeneration needed to do it. Grams are one honest serving of the dish as
# written — the planner scales from there.
#
# Whole ingredients only. There is no stock, no spice and no vinegar in the food catalogue, and
# a dish that leans on one would price out wrong. Seasoning is assumed, not listed.

# — Breakfast —
d0001	Ham and cheese sandwich	breakfast,snack	mediterranean,european	f0114:unit:58:29,f0029:flex:60,f0067:accent:28:28,f0154:side:40,f0202:trace:7,f0221:fixed:237
d0002	Toast with butter and jam	breakfast	generic,european	f0114:unit:58:29,f0192:trace:10,f0228:accent:20:20,f0221:fixed:237
d0003	Scrambled eggs on toast	breakfast	generic,european	f0072:unit:100:50,f0114:unit:58:29,f0192:trace:8,f0154:side:60,f0221:fixed:237
d0004	Porridge with banana	breakfast	generic,european	f0102:flex:50,f0080:flex:250,f0161:side:118,f0227:trace:10
d0005	Greek yogurt with berries and nuts	breakfast,snack	mediterranean,generic	f0075:flex:200,f0163:side:80,f0215:accent:20,f0227:trace:10
d0006	Bagel with cream cheese and salmon	breakfast	generic,european	f0087:unit:105:105,f0069:accent:30,f0046:flex:60,f0119:side:20,f0221:fixed:237
d0007	Toast with avocado and egg	breakfast	generic	f0116:unit:64:32,f0190:accent:60,f0072:unit:50:50,f0202:trace:5,f0221:fixed:237
d0008	Tomato toast with olive oil	breakfast	mediterranean	f0111:flex:80,f0154:side:80,f0202:trace:10,f0029:accent:40,f0221:fixed:237
d0009	Peanut butter toast with banana	breakfast,snack	generic	f0114:unit:58:29,f0204:accent:32:32,f0161:side:118,f0080:fixed:244
d0010	Oats with milk and apple	breakfast	generic,european	f0102:flex:50,f0080:flex:250,f0159:side:150,f0189:accent:15
